_uid_,nom_fr,element,lng_target,lat_target,lng_source,lat_source
"355","(prêtre à Lindos) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et, en ville, d'Hélios et des Muses",Kekoia,"28.0882029","36.0912206","26.25","34.75"
"356",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"357",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"358",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"359",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"360",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia,De Kekoia,"28.227611","36.443113","26.25","34.75"
"361",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia,Kekoia,"28.227611","36.443113","26.25","34.75"
"362",(prêtre à Lindos) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia et d'Aphrodite et de Dionysos et d'Apollon Pythien et (à Ialysos) d'Athéna Ialusia Polias et Zeus Polieus et (à Camiros) d'Athéna Kameiras et Zeus Polieus et Ataburios et d'Artémis et d'Hélios à Rhodes,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"363",(prêtre à Lindos) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia et d'Aphrodite et de Dionysos et d'Apollon Pythien et (à Ialysos) d'Athéna Ialusia Polias et Zeus Polieus et (à Camiros) d'Athéna Kameiras et Zeus Polieus et Ataburios et d'Artémis et d'Hélios à Rhodes,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"364",d'Artémis à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"365",d'Artémis à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"366","(prêtre) d'Hélios, d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia",De Kekoia,"28.227611","36.443113","26.25","34.75"
"367","(prêtre) d'Hélios, d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia",Kekoia,"28.227611","36.443113","26.25","34.75"
"368",(hydrophore) d'Artémis à Samos,Samos,"27.256115","37.384829","26.84","37.73"
"372","Pour le dieu de Gaia, le dieu",Gaia,"35.4409068","30.3427047","35.4798933","30.3230706"
"373","Pour Ilah-al-Gaia, le dieu",Gaia,"35.4409068","30.3427047","35.4798933","30.3230706"
"374","Dushara, dieu de Gaia",Gaia,"34.7736645","30.7942085","35.4798933","30.3230706"
"375","Al-Kutba qui est à Gaia, al-Uzza",Gaia,"35.4112976","29.5658193","35.4798933","30.3230706"
"380",Allatu la déesse qui est à Iram,Iram,"35.4629345","29.5306717","35.4145162","29.5781215"
"391",d'Athéna sur l'acropole Achaia,sur l'acropole Achaia (à Ialysos),"28.0882029","36.0912206","28.15629","36.41451"
"393",(le sanctuaire) d'Asclépios à Cos,"Cos, Kos","27.257012","36.875681","27.17","36.844"
"394",(le sanctuaire) d'Asclépios à Cos,"Cos, Kos","27.257012","36.875681","27.17","36.844"
"395",(le sanctuaire) d'Asclépios à Cos,"Cos, Kos","27.257012","36.875681","27.17","36.844"
"396",(le sanctuaire) d'Asclépios à Cos,"Cos, Kos","27.257012","36.875681","27.17","36.844"
"397",(le sanctuaire) d'Asclépios à Cos,"Cos, Kos","27.257012","36.875681","27.17","36.844"
"398",(dans le sanctuaire) d'Apollon Délien à Calymna (?),Calymna,"27.17","36.844","26.983333","36.983333"
"399",(dans le sanctuaire) d'Apollon Délien à Calymna,Calymna,"27.17","36.844","26.983333","36.983333"
"400",(dans le sanctuaire) d'Apollon Délien à Calymna,Calymna,"27.257012","36.875681","26.983333","36.983333"
"401",(dans le sanctuaire) d'Apollon Délien à Calymna,Calymna,"27.257012","36.875681","26.983333","36.983333"
